               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083593,           0.0078699,             0.06302,                   0,                   0,                   0,                   0,            0.085869,           0.0077404,            0.078224,            0.070068,           0.0033258,           0.0033258
                   1,            0.074614,           0.0087596,            0.062248,           0.0016368,            0.091053,           0.0010141,          0.00026172,            0.074982,            0.008682,            0.062582,            0.039848,           0.0064394,           0.0064394
                   2,            0.059538,           0.0089192,            0.062226,           0.0037703,             0.27138,           0.0033417,          0.00092238,            0.063366,           0.0075861,            0.061902,           0.0094084,            0.009333,            0.009333
                   3,            0.053341,           0.0087087,             0.06155,            0.008237,             0.61399,            0.011202,           0.0042948,            0.049639,           0.0065202,            0.061651,             0.00901,             0.00901,             0.00901
                   4,            0.048154,           0.0085263,            0.061282,           0.0089733,             0.66504,            0.012694,           0.0043364,            0.049584,           0.0061809,            0.061618,             0.00901,             0.00901,             0.00901
                   5,             0.04546,           0.0081773,            0.061146,            0.011685,             0.87241,            0.018087,           0.0080993,            0.044113,           0.0055064,            0.061528,             0.00868,             0.00868,             0.00868
                   6,            0.042686,           0.0079838,            0.061321,           0.0045923,              0.3254,           0.0065236,           0.0018632,            0.059356,           0.0061602,            0.061504,             0.00835,             0.00835,             0.00835
                   7,            0.040505,           0.0076989,            0.061415,            0.012363,             0.91822,            0.019877,           0.0092587,             0.03985,           0.0052366,            0.061378,             0.00802,             0.00802,             0.00802
                   8,             0.03926,           0.0074691,            0.061139,            0.010544,              0.6639,            0.015877,           0.0070984,            0.045118,           0.0062305,            0.061403,             0.00769,             0.00769,             0.00769
                   9,            0.037186,           0.0071125,            0.060995,             0.01342,             0.94435,            0.021362,            0.011766,            0.035874,           0.0045534,            0.061325,             0.00736,             0.00736,             0.00736
                  10,            0.036574,           0.0069362,            0.061217,            0.013535,             0.97376,            0.021761,            0.012555,            0.034375,           0.0045167,            0.061296,             0.00703,             0.00703,             0.00703
                  11,            0.035829,           0.0067953,            0.060668,            0.013216,             0.96116,            0.021736,             0.01164,            0.036198,           0.0046586,            0.061259,              0.0067,              0.0067,              0.0067
                  12,            0.034758,           0.0065294,            0.060914,            0.014867,             0.97674,            0.022115,            0.013605,            0.033074,           0.0042264,            0.061209,             0.00637,             0.00637,             0.00637
                  13,            0.034121,           0.0064237,             0.06151,             0.01399,             0.98167,            0.021835,            0.013255,            0.033025,           0.0041995,            0.061219,             0.00604,             0.00604,             0.00604
                  14,            0.032793,            0.006291,            0.060917,            0.015179,             0.96715,            0.021785,             0.01371,            0.032015,           0.0042286,             0.06122,             0.00571,             0.00571,             0.00571
                  15,            0.032784,           0.0061785,            0.061162,            0.014266,             0.99058,            0.021711,            0.013939,            0.031181,           0.0041304,            0.061207,             0.00538,             0.00538,             0.00538
                  16,            0.032433,           0.0060329,            0.060896,            0.014953,             0.98941,             0.02203,            0.014351,            0.031596,           0.0038487,            0.061202,             0.00505,             0.00505,             0.00505
                  17,            0.031914,            0.005991,             0.06107,             0.01493,             0.99306,            0.022758,            0.014888,            0.030941,           0.0038255,            0.061208,             0.00472,             0.00472,             0.00472
                  18,            0.030792,           0.0058259,            0.060756,            0.015492,              0.9928,             0.02229,             0.01499,            0.029859,           0.0036794,             0.06123,             0.00439,             0.00439,             0.00439
                  19,            0.030571,           0.0057142,            0.061198,             0.01557,             0.99395,            0.022142,             0.01535,            0.029232,           0.0036036,            0.061197,             0.00406,             0.00406,             0.00406
                  20,            0.030037,           0.0056596,            0.060738,             0.01546,             0.99487,            0.022207,            0.015221,            0.029389,           0.0035998,            0.061182,             0.00373,             0.00373,             0.00373
                  21,            0.029854,           0.0055379,             0.06116,             0.01544,             0.99734,            0.022541,            0.015496,            0.029035,           0.0035601,            0.061149,              0.0034,              0.0034,              0.0034
                  22,            0.029665,           0.0055193,            0.060567,            0.015652,             0.99651,            0.022268,            0.015141,            0.028864,           0.0035363,            0.061128,             0.00307,             0.00307,             0.00307
                  23,            0.028963,           0.0054213,            0.061303,            0.015749,              0.9963,            0.022606,            0.016024,             0.02758,           0.0034577,            0.061128,             0.00274,             0.00274,             0.00274
                  24,            0.028514,           0.0053466,            0.060888,            0.015838,             0.99806,            0.022491,            0.015951,            0.027462,           0.0034134,            0.061134,             0.00241,             0.00241,             0.00241
                  25,            0.028462,           0.0052533,            0.061033,            0.015986,             0.99476,            0.022398,            0.015453,            0.028369,           0.0034879,            0.061145,             0.00208,             0.00208,             0.00208
                  26,            0.027709,           0.0052988,            0.060539,            0.016007,             0.99845,            0.022476,            0.015951,            0.027536,           0.0033947,            0.061155,             0.00175,             0.00175,             0.00175
                  27,            0.027877,            0.005235,            0.060775,            0.016334,             0.99885,            0.022688,            0.016435,            0.026991,            0.003287,             0.06115,             0.00142,             0.00142,             0.00142
                  28,             0.02701,           0.0051581,            0.060893,            0.016288,              0.9983,            0.022508,             0.01648,            0.026925,           0.0032566,            0.061136,             0.00109,             0.00109,             0.00109
                  29,            0.027379,           0.0051273,            0.061031,             0.01637,              0.9988,            0.022735,            0.016691,            0.026433,           0.0032486,            0.061132,             0.00076,             0.00076,             0.00076
